DrugbankID	UniprotID	HGNC_ID	HGNC_Name	CID	CHEMBL	Entrez_ID	Entrez_Gene		
DB00102	P01023	HGNC:7	A2M			2	A2M
DB00626	P01023	HGNC:7	A2M	CID000439542		2	A2M
DB08888	P01023	HGNC:7	A2M			2	A2M
DB00160	P49588	HGNC:20	AARS	CID000005950	CHEMBL279597	16	AARS
DB00160	Q5JTZ9	HGNC:21022	AARS2	CID000005950	CHEMBL279597	57505	AARS2
DB00119	P80404	HGNC:23	ABAT	CID000001060	CHEMBL1162144	18	ABAT
DB00160	P80404	HGNC:23	ABAT	CID000005950	CHEMBL279597	18	ABAT
DB00313	P80404	HGNC:23	ABAT	CID000003121	CHEMBL109|CHEMBL2105613|CHEMBL433	18	ABAT
DB00780	P80404	HGNC:23	ABAT	CID000003675	CHEMBL1089|CHEMBL1200895	18	ABAT
DB01080	P80404	HGNC:23	ABAT	CID000005665	CHEMBL89598	18	ABAT
DB00171	O95477	HGNC:29	ABCA1	CID000005957	CHEMBL14249|CHEMBL2106579	19	ABCA1
DB01016	O95477	HGNC:29	ABCA1	CID000003488	CHEMBL472	19	ABCA1
DB01599	O95477	HGNC:29	ABCA1	CID000004912	CHEMBL608	19	ABCA1
DB00619	Q99758	HGNC:33	ABCA3	CID000005291	CHEMBL1642|CHEMBL941	21	ABCA3
DB00864	Q8WWZ7	HGNC:35	ABCA5	CID000005372		23461	ABCA5
DB00171	P08183	HGNC:40	ABCB1	CID000005957	CHEMBL14249|CHEMBL2106579	5243	ABCB1
DB00199	P08183	HGNC:40	ABCB1	CID000012560	CHEMBL532	5243	ABCB1
DB00778	P08183	HGNC:40	ABCB1	CID005480431	CHEMBL1235718	5243	ABCB1
DB00845	P08183	HGNC:40	ABCB1	CID000002794	CHEMBL1292	5243	ABCB1
DB01211	P08183	HGNC:40	ABCB1	CID017753750		5243	ABCB1
DB04877	P08183	HGNC:40	ABCB1	CID011953931		5243	ABCB1
DB00027	P08183	HGNC:40	ABCB1			5243	ABCB1
DB00091	P08183	HGNC:40	ABCB1			5243	ABCB1
DB00175	P08183	HGNC:40	ABCB1	CID000054687	CHEMBL1144|CHEMBL690	5243	ABCB1
DB00176	P08183	HGNC:40	ABCB1	CID005324345	CHEMBL1409|CHEMBL814	5243	ABCB1
DB00196	P08183	HGNC:40	ABCB1	CID000003365	CHEMBL106	5243	ABCB1
DB00199	P08183	HGNC:40	ABCB1	CID000012560	CHEMBL532	5243	ABCB1
DB00201	P08183	HGNC:40	ABCB1	CID000002519	CHEMBL113|CHEMBL1200569	5243	ABCB1
DB00206	P08183	HGNC:40	ABCB1	CID000005770	CHEMBL772	5243	ABCB1
DB00207	P08183	HGNC:40	ABCB1	CID000055185		5243	ABCB1
DB00213	P08183	HGNC:40	ABCB1	CID000004679	CHEMBL1200408|CHEMBL1502	5243	ABCB1
DB00215	P08183	HGNC:40	ABCB1	CID000002771	CHEMBL1200781|CHEMBL549	5243	ABCB1
DB00216	P08183	HGNC:40	ABCB1	CID000077993	CHEMBL1201003|CHEMBL1510	5243	ABCB1
DB00220	P08183	HGNC:40	ABCB1	CID000064142	CHEMBL1205|CHEMBL584	5243	ABCB1
DB00224	P08183	HGNC:40	ABCB1	CID005362440	CHEMBL115|CHEMBL1735	5243	ABCB1
DB00227	P08183	HGNC:40	ABCB1	CID000053232	CHEMBL503	5243	ABCB1
DB00234	P08183	HGNC:40	ABCB1	CID000065856	CHEMBL180101|CHEMBL2103809	5243	ABCB1
DB00252	P08183	HGNC:40	ABCB1	CID000001775	CHEMBL16|CHEMBL1611|CHEMBL553532	5243	ABCB1
